model,dataset,attack_acc,member_acc,non_member_acc,advantage
XGBoost,baseline,0.746,0.961,0.099,0.06
XGBoost,eps_0.1,0.732,0.902,0.223,0.125
XGBoost,eps_0.5,0.732,0.922,0.167,0.088
XGBoost,eps_1.0,0.733,0.922,0.165,0.087
XGBoost,eps_2.0,0.732,0.921,0.163,0.084
Random Forest,baseline,0.749,0.998,0.002,0.0
Random Forest,eps_0.1,0.75,1.0,0.0,0.0
Random Forest,eps_0.5,0.749,0.997,0.005,0.003
Random Forest,eps_1.0,0.749,0.996,0.009,0.005
Random Forest,eps_2.0,0.748,0.996,0.006,0.002
Linear Regression,baseline,0.75,1.0,0.0,0.0
Linear Regression,eps_0.1,0.75,1.0,0.0,0.0
Linear Regression,eps_0.5,0.75,1.0,0.0,0.0
Linear Regression,eps_1.0,0.75,1.0,0.0,0.0
Linear Regression,eps_2.0,0.75,1.0,0.0,0.0
